date,price,unit,trend
2020-01-02,341.26,元/克,
2020-01-03,346.43,元/克,涨
2020-01-06,354.04,元/克,涨
2020-01-07,351.34,元/克,跌
2020-01-08,356.05,元/克,涨
2020-01-09,345.48,元/克,跌
2020-01-10,346.94,元/克,涨
2020-01-13,345.85,元/克,跌
2020-01-14,342.8,元/克,跌
2020-01-15,344.95,元/克,涨
2020-01-16,345.49,元/克,涨
2020-01-17,344.3,元/克,跌
2020-01-20,345.2,元/克,涨
2020-01-21,348.18,元/克,涨
2020-01-22,345.86,元/克,跌
2020-01-23,347.04,元/克,涨
2020-02-03,356.0,元/克,涨
2020-02-04,353.92,元/克,跌
2020-02-05,351.87,元/克,跌
2020-02-06,349.6,元/克,跌
2020-02-07,351.65,元/克,涨
2020-02-10,353.0,元/克,涨
2020-02-11,352.1,元/克,跌
2020-02-12,350.79,元/克,跌
2020-02-13,353.75,元/克,涨
2020-02-14,353.95,元/克,涨
2020-02-17,355.41,元/克,涨
2020-02-18,357.34,元/克,涨
2020-02-19,361.15,元/克,涨
2020-02-20,362.3,元/克,涨
2020-02-21,369.49,元/克,涨
2020-02-24,377.32,元/克,涨
2020-02-25,369.93,元/克,跌
2020-02-26,371.64,元/克,涨
2020-02-27,371.25,元/克,跌
2020-02-28,365.4,元/克,跌
2020-03-02,359.02,元/克,跌
2020-03-03,358.22,元/克,跌
2020-03-04,364.72,元/克,涨
2020-03-05,365.93,元/克,涨
2020-03-06,373.05,元/克,涨
2020-03-09,373.0,元/克,跌
2020-03-10,366.68,元/克,跌
2020-03-11,369.69,元/克,涨
2020-03-12,366.26,元/克,跌
2020-03-13,355.46,元/克,跌
2020-03-16,344.75,元/克,跌
2020-03-17,330.78,元/克,跌
2020-03-18,338.15,元/克,涨
2020-03-19,335.61,元/克,跌
2020-03-20,340.05,元/克,涨
2020-03-23,338.75,元/克,跌
2020-03-24,357.0,元/克,涨
2020-03-25,363.48,元/克,涨
2020-03-26,362.39,元/克,跌
2020-03-27,365.95,元/克,涨
2020-03-30,364.0,元/克,跌
2020-03-31,363.8,元/克,跌
2020-04-01,360.2,元/克,跌
2020-04-02,360.33,元/克,涨
2020-04-03,362.68,元/克,涨
2020-04-07,370.9,元/克,涨
2020-04-08,370.33,元/克,跌
2020-04-09,370.78,元/克,涨
2020-04-10,372.6,元/克,涨
2020-04-13,371.77,元/克,跌
2020-04-14,377.0,元/克,涨
2020-04-15,373.69,元/克,跌
2020-04-16,378.35,元/克,涨
2020-04-17,369.99,元/克,跌
2020-04-20,369.9,元/克,跌
2020-04-21,374.61,元/克,涨
2020-04-22,373.02,元/克,跌
2020-04-23,378.78,元/克,涨
2020-04-24,382.03,元/克,涨
2020-04-27,380.1,元/克,跌
2020-04-28,376.56,元/克,跌
2020-04-29,378.24,元/克,涨
2020-04-30,380.69,元/克,涨
2020-05-06,380.07,元/克,跌
2020-05-07,378.0,元/克,跌
2020-05-08,383.0,元/克,涨
2020-05-11,381.26,元/克,跌
2020-05-12,380.76,元/克,跌
2020-05-13,380.72,元/克,跌
2020-05-14,383.06,元/克,涨
2020-05-15,388.88,元/克,涨
2020-05-18,398.08,元/克,涨
2020-05-19,392.18,元/克,跌
2020-05-20,396.7,元/克,涨
2020-05-21,391.99,元/克,跌
2020-05-22,392.29,元/克,涨
2020-05-25,391.39,元/克,跌
2020-05-26,392.87,元/克,涨
2020-05-27,389.56,元/克,跌
2020-05-28,392.12,元/克,涨
2020-05-29,391.92,元/克,跌
2020-06-01,395.75,元/克,涨
2020-06-02,394.7,元/克,跌
2020-06-03,390.84,元/克,跌
2020-06-04,387.68,元/克,跌
2020-06-05,387.71,元/克,涨
2020-06-08,383.86,元/克,跌
2020-06-09,384.78,元/克,涨
2020-06-10,388.85,元/克,涨
2020-06-11,392.12,元/克,涨
2020-06-12,391.59,元/克,跌
2020-06-15,388.6,元/克,跌
2020-06-16,389.7,元/克,涨
2020-06-17,390.28,元/克,涨
2020-06-18,389.85,元/克,跌
2020-06-19,390.68,元/克,涨
2020-06-22,394.1,元/克,涨
2020-06-23,394.36,元/克,涨
2020-06-24,397.1,元/克,涨
2020-06-29,397.25,元/克,涨
2020-06-30,397.95,元/克,涨
2020-07-01,400.7,元/克,涨
2020-07-02,396.15,元/克,跌
2020-07-03,397.55,元/克,涨
2020-07-06,396.81,元/克,跌
2020-07-07,397.19,元/克,涨
2020-07-08,399.4,元/克,涨
2020-07-09,401.96,元/克,涨
2020-07-10,399.55,元/克,跌
2020-07-13,401.1,元/克,涨
2020-07-14,400.02,元/克,跌
2020-07-15,400.61,元/克,涨
2020-07-16,399.66,元/克,跌
2020-07-17,396.95,元/克,跌
2020-07-20,398.31,元/克,涨
2020-07-21,401.42,元/克,涨
2020-07-22,410.2,元/克,涨
2020-07-23,412.66,元/克,涨
2020-07-24,417.61,元/克,涨
2020-07-27,426.45,元/克,涨
2020-07-28,425.0,元/克,跌
2020-07-29,426.94,元/克,涨
2020-07-30,421.6,元/克,跌
2020-07-31,428.61,元/克,涨
2020-08-03,427.77,元/克,跌
2020-08-04,428.1,元/克,涨
2020-08-05,439.55,元/克,涨
2020-08-06,442.4,元/克,涨
2020-08-07,445.72,元/克,涨
2020-08-10,442.0,元/克,跌
2020-08-11,432.21,元/克,跌
2020-08-12,405.7,元/克,跌
2020-08-13,412.2,元/克,涨
2020-08-14,416.0,元/克,涨
2020-08-17,420.48,元/克,涨
2020-08-18,429.7,元/克,涨
2020-08-19,423.5,元/克,跌
2020-08-20,414.66,元/克,跌
2020-08-21,414.4,元/克,跌
2020-08-24,415.98,元/克,涨
2020-08-25,413.81,元/克,跌
2020-08-26,412.38,元/克,跌
