date,price,unit,trend
2020-02-10,368.5,元/克,跌
2020-02-11,367.2,元/克,涨
2020-02-12,366.6,元/克,涨
2020-02-13,368.1,元/克,跌
2020-02-14,368.7,元/克,跌
2020-02-17,369.9,元/克,跌
2020-02-18,371.6,元/克,跌
2020-02-19,376.1,元/克,跌
2020-02-20,378.0,元/克,跌
2020-02-21,383.8,元/克,跌
2020-02-24,390.8,元/克,跌
2020-02-25,388.5,元/克,涨
2020-02-26,385.3,元/克,涨
2020-02-27,386.8,元/克,跌
2020-02-28,384.5,元/克,涨
2020-03-02,374.0,元/克,涨
2020-03-03,373.1,元/克,涨
2020-03-04,382.0,元/克,跌
2020-03-05,380.3,元/克,涨
2020-03-06,387.7,元/克,跌
2020-03-09,391.7,元/克,跌
2020-03-10,385.0,元/克,涨
2020-03-11,383.0,元/克,涨
2020-03-12,381.0,元/克,涨
2020-03-13,366.0,元/克,涨
2020-03-16,362.0,元/克,涨
2020-03-17,348.0,元/克,涨
2020-03-18,357.5,元/克,跌
2020-03-19,350.0,元/克,涨
2020-03-20,351.0,元/克,跌
2020-03-23,353.5,元/克,跌
2020-03-24,372.5,元/克,跌
2020-03-25,379.0,元/克,跌
2020-03-26,377.8,元/克,涨
2020-03-27,381.0,元/克,跌
2020-03-30,379.5,元/克,涨
2020-03-31,378.7,元/克,涨
2020-04-01,370.5,元/克,涨
2020-04-02,373.5,元/克,跌
2020-04-03,378.8,元/克,跌
2020-04-07,388.2,元/克,跌
2020-04-08,384.5,元/克,涨
2020-04-09,384.1,元/克,涨
2020-04-10,388.0,元/克,跌
2020-04-13,386.5,元/克,涨
2020-04-14,391.5,元/克,跌
2020-04-15,392.0,元/克,跌
2020-04-16,390.0,元/克,涨
2020-04-17,388.8,元/克,涨
2020-04-20,384.7,元/克,涨
2020-04-21,387.3,元/克,跌
2020-04-22,388.0,元/克,跌
2020-04-23,394.0,元/克,跌
2020-04-24,395.0,元/克,跌
2020-04-26,396.0,元/克,跌
2020-04-27,395.5,元/克,涨
2020-04-28,392.0,元/克,涨
2020-04-29,393.0,元/克,跌
2020-04-30,392.8,元/克,涨
2020-05-01,392.8,元/克,平
2020-05-04,392.8,元/克,平
2020-05-05,392.8,元/克,平
2020-05-06,394.8,元/克,跌
2020-05-07,393.7,元/克,涨
2020-05-08,397.7,元/克,跌
2020-05-09,396.0,元/克,涨
2020-05-11,396.0,元/克,平
2020-05-12,395.0,元/克,涨
2020-05-13,395.7,元/克,跌
2020-05-14,397.7,元/克,跌
2020-05-15,405.0,元/克,跌
2020-05-18,414.0,元/克,跌
2020-05-19,407.7,元/克,涨
2020-05-20,410.5,元/克,跌
2020-05-21,398.5,元/克,涨
2020-05-25,406.0,元/克,跌
2020-05-26,407.2,元/克,跌
2020-05-27,404.6,元/克,涨
2020-05-28,404.9,元/克,跌
2020-05-29,406.0,元/克,跌
2020-06-01,409.0,元/克,跌
2020-06-02,409.3,元/克,跌
2020-06-03,405.7,元/克,涨
2020-06-04,402.5,元/克,涨
2020-06-05,404.2,元/克,跌
2020-06-08,397.3,元/克,涨
2020-06-09,399.5,元/克,跌
2020-06-10,402.7,元/克,跌
2020-06-11,405.0,元/克,跌
2020-06-12,405.5,元/克,跌
2020-06-15,406.5,元/克,跌
2020-06-16,404.5,元/克,涨
2020-06-17,404.5,元/克,平
2020-06-18,405.0,元/克,跌
2020-06-19,404.5,元/克,涨
2020-06-22,410.5,元/克,跌
2020-06-23,409.9,元/克,涨
2020-06-24,411.5,元/克,跌
2020-06-28,411.7,元/克,跌
2020-06-29,412.0,元/克,跌
2020-06-30,411.5,元/克,涨
2020-07-01,413.9,元/克,跌
2020-07-02,411.5,元/克,涨
2020-07-03,412.3,元/克,跌
2020-07-06,412.0,元/克,涨
2020-07-07,412.3,元/克,跌
2020-07-08,413.7,元/克,跌
2020-07-09,415.8,元/克,跌
2020-07-10,414.5,元/克,涨
2020-07-13,414.8,元/克,跌
2020-07-14,414.0,元/克,涨
2020-07-15,415.7,元/克,跌
2020-07-16,415.0,元/克,涨
2020-07-17,411.6,元/克,涨
2020-07-20,413.0,元/克,跌
2020-07-21,414.5,元/克,跌
2020-07-22,425.0,元/克,跌
2020-07-23,426.5,元/克,跌
2020-07-24,430.0,元/克,跌
2020-07-27,440.5,元/克,跌
2020-07-28,449.0,元/克,跌
2020-07-29,442.0,元/克,涨
2020-07-30,442.5,元/克,跌
2020-07-31,439.0,元/克,涨
2020-08-03,442.5,元/克,跌
2020-08-04,443.0,元/克,跌
2020-08-05,451.0,元/克,跌
2020-08-06,455.0,元/克,跌
2020-08-07,462.0,元/克,跌
2020-08-10,455.0,元/克,涨
2020-08-11,454.0,元/克,涨
2020-08-12,418.0,元/克,涨
2020-08-13,428.0,元/克,跌
2020-08-14,436.0,元/克,跌
2020-08-17,436.0,元/克,平
2020-08-18,436.0,元/克,平
2020-08-19,442.0,元/克,跌
2020-08-20,430.0,元/克,涨
2020-08-21,430.0,元/克,平
2020-08-24,425.5,元/克,涨
2020-08-25,428.0,元/克,跌
2020-08-26,427.3,元/克,涨
2020-08-27,431.3,元/克,跌
2020-08-28,430.3,元/克,涨
2020-08-31,434.5,元/克,跌
2020-09-01,437.5,元/克,跌
2020-09-02,434.0,元/克,涨
2020-09-03,431.0,元/克,涨
2020-09-04,428.5,元/克,涨
2020-09-07,429.0,元/克,跌
2020-09-08,427.0,元/克,涨
2020-09-09,428.0,元/克,跌
2020-09-10,431.0,元/克,跌
2020-09-11,431.0,元/克,平
2020-09-14,431.0,元/克,平
2020-09-15,431.0,元/克,平
2020-09-16,431.0,元/克,平
2020-09-17,431.0,元/克,平
2020-09-18,431.0,元/克,平
2020-09-21,431.0,元/克,平
2020-09-22,431.0,元/克,平
2020-09-23,431.0,元/克,平
2020-09-24,431.0,元/克,平
2020-09-25,412.0,元/克,涨
2020-09-27,414.0,元/克,跌
2020-09-28,413.0,元/克,涨
2020-09-29,418.5,元/克,跌
2020-09-30,419.5,元/克,跌
2020-10-01,419.5,元/克,平
2020-10-02,420.0,元/克,跌
2020-10-05,420.0,元/克,平
2020-10-06,421.5,元/克,跌
2020-10-07,421.5,元/克,平
2020-10-08,421.5,元/克,平
2020-10-09,419.5,元/克,涨
2020-10-12,423.5,元/克,跌
2020-10-13,421.5,元/克,涨
2020-10-14,415.4,元/克,涨
2020-10-15,416.0,元/克,跌
2020-10-16,418.4,元/克,跌
2020-10-19,416.0,元/克,涨
2020-10-20,415.8,元/克,涨
2020-10-21,418.6,元/克,跌
2020-10-22,417.4,元/克,涨
2020-10-23,416.5,元/克,涨
2020-10-26,415.4,元/克,涨
2020-10-27,418.3,元/克,跌
2020-10-28,418.6,元/克,跌
2020-10-29,413.3,元/克,涨
2020-10-30,411.3,元/克,涨
2020-11-02,413.5,元/克,跌
2020-11-03,415.9,元/克,跌
2020-11-04,418.3,元/克,跌
2020-11-05,417.5,元/克,涨
2020-11-06,422.0,元/克,跌
2020-11-09,423.0,元/克,跌
2020-11-10,409.0,元/克,涨
2020-11-11,409.0,元/克,平
2020-11-12,408.5,元/克,涨
2020-11-13,410.5,元/克,跌
2020-11-16,412.0,元/克,跌
2020-11-17,410.0,元/克,涨
2020-11-18,408.0,元/克,涨
2020-11-19,407.0,元/克,涨
2020-11-20,405.7,元/克,涨
2020-11-23,405.6,元/克,涨
2020-11-24,396.5,元/克,涨
2020-11-25,393.9,元/克,涨
2020-11-26,393.3,元/克,涨
2020-11-27,393.5,元/克,跌
2020-12-01,387.0,元/克,涨
2020-12-02,391.2,元/克,跌
2020-12-03,396.5,元/克,跌
2020-12-04,397.9,元/克,跌
2020-12-07,395.7,元/克,涨
2020-12-08,401.4,元/克,跌
2020-12-09,401.4,元/克,平
2020-12-10,396.5,元/克,涨
2020-12-11,396.5,元/克,平
2020-12-14,395.9,元/克,涨
2020-12-15,395.8,元/克,涨
2020-12-16,401.2,元/克,跌
2020-12-17,401.5,元/克,跌
2020-12-18,405.3,元/克,跌
2020-12-21,409.5,元/克,跌
2020-12-22,407.3,元/克,涨
2020-12-23,404.5,元/克,涨
2020-12-24,405.2,元/克,跌
2020-12-25,406.0,元/克,跌
2020-12-28,409.6,元/克,跌
2020-12-29,406.4,元/克,涨
2020-12-30,405.6,元/克,涨
2020-12-31,407.0,元/克,跌
2021-01-04,413.0,元/克,跌
2021-01-05,413.8,元/克,跌
2021-01-06,415.7,元/克,跌
2021-01-07,410.5,元/克,涨
2021-01-08,410.5,元/克,平
2021-01-11,397.4,元/克,涨
2021-01-12,400.2,元/克,跌
2021-01-13,400.8,元/克,跌
2021-01-14,398.2,元/克,涨
2021-01-15,400.0,元/克,跌
2021-01-18,396.2,元/克,涨
2021-01-20,399.6,元/克,跌
2021-01-21,402.6,元/克,跌
2021-01-22,403.5,元/克,跌
2021-01-25,401.5,元/克,涨
2021-01-26,401.6,元/克,跌
2021-01-27,398.5,元/克,涨
2021-01-28,398.0,元/克,涨
2021-01-29,397.6,元/克,涨
2021-02-01,402.2,元/克,跌
2021-02-02,402.3,元/克,跌
2021-02-03,397.5,元/克,涨
2021-02-04,393.5,元/克,涨
2021-02-05,389.0,元/克,涨
2021-02-07,393.0,元/克,跌
2021-02-08,391.3,元/克,涨
2021-02-09,396.6,元/克,跌
2021-02-10,396.5,元/克,涨
2021-02-22,387.3,元/克,涨
2021-02-23,392.7,元/克,跌
2021-02-24,391.7,元/克,涨
2021-02-25,388.0,元/克,涨
2021-02-26,384.5,元/克,涨
2021-03-01,380.2,元/克,涨
2021-03-02,372.1,元/克,涨
2021-03-03,376.3,元/克,跌
2021-03-04,372.4,元/克,涨
2021-03-05,368.9,元/克,涨
2021-03-08,374.0,元/克,跌
2021-03-09,370.8,元/克,涨
2021-03-10,375.7,元/克,跌
2021-03-11,379.1,元/克,跌
2021-03-12,375.4,元/克,涨
2021-03-15,378.1,元/克,跌
2021-03-16,378.5,元/克,跌
2021-03-17,379.1,元/克,跌
2021-03-18,382.2,元/克,跌
2021-03-19,379.5,元/克,涨
2021-03-22,380.6,元/克,跌
2021-03-23,379.6,元/克,涨
2021-03-24,380.0,元/克,跌
2021-03-25,381.1,元/克,跌
2021-03-26,378.9,元/克,涨
2021-03-29,380.3,元/克,跌
2021-03-30,376.5,元/克,涨
2021-03-31,370.1,元/克,涨
2021-04-01,377.5,元/克,跌
2021-04-02,382.5,元/克,跌
2021-04-06,382.2,元/克,涨
2021-04-07,381.5,元/克,涨
2021-04-08,382.1,元/克,跌
2021-04-09,385.2,元/克,跌
2021-04-12,382.8,元/克,涨
2021-04-13,381.3,元/克,涨
2021-04-14,383.2,元/克,跌
2021-04-15,381.9,元/克,涨
2021-04-16,386.5,元/克,跌
2021-04-19,389.5,元/克,跌
2021-04-20,386.5,元/克,涨
2021-04-21,388.8,元/克,跌
2021-04-22,390.2,元/克,跌
2021-04-23,388.8,元/克,涨
2021-04-25,387.3,元/克,涨
2021-04-26,386.6,元/克,涨
2021-04-27,386.7,元/克,跌
2021-04-28,385.4,元/克,涨
2021-04-29,386.2,元/克,跌
2021-04-30,383.7,元/克,涨
2021-05-06,388.7,元/克,跌
2021-05-07,393.8,元/克,跌
2021-05-08,395.0,元/克,跌
2021-05-10,394.6,元/克,涨
2021-05-11,395.0,元/克,跌
2021-05-12,393.5,元/克,涨
2021-05-13,393.4,元/克,涨
2021-05-14,393.5,元/克,跌
2021-05-17,399.3,元/克,跌
2021-05-18,402.7,元/克,跌
2021-05-19,401.6,元/克,涨
2021-05-20,404.2,元/克,跌
2021-05-21,404.0,元/克,涨
2021-05-24,405.2,元/克,跌
2021-05-25,402.8,元/克,涨
2021-05-26,407.7,元/克,跌
2021-05-27,404.8,元/克,涨
2021-05-28,403.6,元/克,涨
2021-05-31,405.8,元/克,跌
2021-06-01,407.0,元/克,跌
2021-06-02,403.3,元/克,涨
2021-06-03,403.2,元/克,涨
2021-06-04,391.9,元/克,涨
2021-06-07,398.6,元/克,跌
2021-06-08,400.2,元/克,跌
2021-06-09,400.3,元/克,跌
2021-06-10,398.8,元/克,涨
2021-06-11,401.8,元/克,跌
2021-06-15,394.6,元/克,涨
2021-06-16,395.1,元/克,跌
2021-06-17,389.8,元/克,涨
2021-06-18,385.0,元/克,涨
2021-06-21,383.9,元/克,涨
2021-06-22,386.8,元/克,跌
2021-06-23,386.3,元/克,涨
2021-06-24,384.9,元/克,涨
2021-06-25,384.4,元/克,涨
2021-06-28,384.6,元/克,跌
2021-06-29,383.7,元/克,涨
2021-06-30,381.0,元/克,涨
2021-07-01,384.4,元/克,跌
2021-07-02,385.3,元/克,跌
2021-07-05,386.8,元/克,跌
2021-07-06,388.7,元/克,跌
2021-07-07,389.6,元/克,跌
2021-07-08,389.5,元/克,涨
2021-07-09,390.4,元/克,跌
2021-07-12,390.2,元/克,涨
2021-07-13,390.8,元/克,跌
2021-07-14,391.8,元/克,跌
2021-07-15,394.0,元/克,跌
2021-07-16,394.6,元/克,跌
2021-07-19,392.4,元/克,涨
2021-07-20,393.3,元/克,跌
2021-07-21,391.0,元/克,涨
2021-07-22,388.9,元/克,涨
2021-07-23,389.9,元/克,跌
2021-07-26,391.0,元/克,跌
2021-07-27,389.3,元/克,涨
2021-07-28,392.4,元/克,跌
2021-07-29,393.1,元/克,跌
2021-07-30,394.5,元/克,跌
2021-08-02,391.4,元/克,涨
2021-08-03,391.0,元/克,涨
2021-08-04,391.6,元/克,跌
2021-08-05,391.1,元/克,涨
2021-08-06,389.0,元/克,涨
2021-08-09,377.5,元/克,涨
2021-08-10,377.1,元/克,涨
2021-08-11,376.0,元/克,涨
2021-08-12,379.8,元/克,跌
2021-08-13,380.7,元/克,跌
2021-08-16,386.0,元/克,跌
2021-08-17,386.8,元/克,跌
2021-08-18,388.2,元/克,跌
2021-08-19,387.1,元/克,涨
2021-08-20,388.0,元/克,跌
2021-08-23,388.0,元/克,平
2021-08-24,390.5,元/克,跌
2021-08-25,389.0,元/克,涨
2021-08-26,388.0,元/克,涨
2021-08-27,389.5,元/克,跌
2021-08-30,392.0,元/克,跌
2021-08-31,391.8,元/克,涨
2021-09-01,391.4,元/克,涨
2021-09-02,391.4,元/克,平
2021-09-03,391.3,元/克,涨
2021-09-06,394.2,元/克,跌
2021-09-07,393.7,元/克,涨
2021-09-08,389.1,元/克,涨
2021-09-09,386.6,元/克,涨
2021-09-10,387.7,元/克,跌
2021-09-13,387.0,元/克,涨
2021-09-14,386.7,元/克,涨
2021-09-15,388.8,元/克,跌
2021-09-16,386.7,元/克,涨
2021-09-17,380.5,元/克,涨
2021-09-18,382.0,元/克,跌
2021-09-22,386.4,元/克,跌
2021-09-23,383.0,元/克,涨
2021-09-24,380.4,元/克,涨
2021-09-26,381.5,元/克,跌
2021-09-27,382.0,元/克,跌
2021-09-28,380.0,元/克,涨
2021-09-29,378.1,元/克,涨
2021-09-30,376.9,元/克,涨
2021-10-08,381.0,元/克,跌
2021-10-09,382.0,元/克,跌
2021-10-11,380.6,元/克,涨
2021-10-12,380.9,元/克,跌
2021-10-13,381.3,元/克,跌
2021-10-14,385.4,元/克,跌
2021-10-15,386.5,元/克,跌
2021-10-18,382.0,元/克,涨
2021-10-19,381.2,元/克,涨
2021-10-20,379.9,元/克,涨
2021-10-21,382.7,元/克,跌
2021-10-22,382.8,元/克,跌
2021-10-25,383.5,元/克,跌
2021-10-26,385.0,元/克,跌
2021-10-27,382.0,元/克,涨
2021-10-28,384.9,元/克,跌
2021-10-29,384.4,元/克,涨
2021-11-01,382.8,元/克,涨
2021-11-02,383.4,元/克,跌
2021-11-03,381.4,元/克,涨
2021-11-04,380.8,元/克,涨
2021-11-05,384.5,元/克,跌
2021-11-08,389.2,元/克,跌
2021-11-09,389.3,元/克,跌
2021-11-10,390.9,元/克,跌
2021-11-11,396.1,元/克,跌
2021-11-12,394.0,元/克,涨
2021-11-15,395.1,元/克,跌
2021-11-16,396.6,元/克,跌
2021-11-17,394.9,元/克,涨
2021-11-18,397.5,元/克,跌
2021-11-19,396.8,元/克,涨
2021-11-22,393.4,元/克,涨
2021-11-23,386.7,元/克,涨
2021-11-24,383.7,元/克,涨
2021-11-25,383.5,元/克,涨
2021-11-26,384.4,元/克,跌
2021-11-29,384.0,元/克,涨
2021-11-30,381.7,元/克,涨
2021-12-01,379.3,元/克,涨
2021-12-02,380.4,元/克,跌
2021-12-03,379.7,元/克,涨
2021-12-06,381.5,元/克,跌
2021-12-07,380.9,元/克,涨
2021-12-08,381.9,元/克,跌
2021-12-09,380.0,元/克,涨
2021-12-10,380.4,元/克,跌
2021-12-13,381.6,元/克,跌
2021-12-14,381.6,元/克,平
2021-12-15,378.8,元/克,涨
2021-12-16,381.0,元/克,涨
2021-12-17,385.1,元/克,跌
2021-12-20,385.2,元/克,跌
2021-12-21,383.4,元/克,涨
2021-12-22,382.5,元/克,涨
2021-12-23,385.7,元/克,跌
2021-12-24,386.9,元/克,跌
2021-12-27,386.5,元/克,涨
2021-12-28,386.4,元/克,涨
2021-12-29,385.9,元/克,涨
2021-12-30,384.7,元/克,涨
2021-12-31,388.0,元/克,跌
2022-01-04,385.5,元/克,涨
2022-01-05,387.3,元/克,跌
2022-01-06,385.7,元/克,涨
2022-01-07,382.6,元/克,涨
2022-01-10,382.7,元/克,跌
2022-01-11,385.2,元/克,跌
2022-01-12,387.7,元/克,跌
2022-01-13,388.2,元/克,跌
2022-01-14,388.7,元/克,跌
2022-01-17,386.3,元/克,涨
2022-01-18,386.7,元/克,跌
2022-01-19,385.5,元/克,涨
2022-01-20,390.6,元/克,跌
2022-01-21,390.6,元/克,平
2022-01-24,389.1,元/克,涨
2022-01-25,389.8,元/克,跌
2022-01-26,390.8,元/克,跌
2022-01-27,385.2,元/克,涨
2022-01-28,382.6,元/克,涨
2022-02-07,385.0,元/克,跌
2022-02-08,387.5,元/克,跌
2022-02-09,389.0,元/克,跌
2022-02-10,390.2,元/克,跌
2022-02-11,388.6,元/克,涨
2022-02-14,393.8,元/克,跌
2022-02-15,397.9,元/克,跌
2022-02-16,392.3,元/克,涨
2022-02-17,395.0,元/克,跌
2022-02-18,399.4,元/克,跌
2022-02-21,400.3,元/克,跌
2022-02-22,403.7,元/克,跌
2022-02-23,400.9,元/克,涨
2022-02-24,405.5,元/克,跌
2022-02-25,403.7,元/克,涨
2022-02-28,401.9,元/克,涨
2022-03-01,401.0,元/克,涨
2022-03-02,407.1,元/克,跌
2022-03-03,406.5,元/克,涨
2022-03-04,408.8,元/克,跌
2022-03-07,418.5,元/克,跌
2022-03-08,416.9,元/克,涨
2022-03-09,430.9,元/克,跌
2022-03-10,415.5,元/克,涨
2022-03-11,419.0,元/克,跌
2022-03-14,416.7,元/克,涨
2022-03-15,410.8,元/克,涨
2022-03-16,405.4,元/克,涨
2022-03-17,408.8,元/克,跌
2022-03-18,409.0,元/克,跌
2022-03-21,408.3,元/克,涨
2022-03-22,410.5,元/克,跌
2022-03-23,408.7,元/克,涨
2022-03-24,412.2,元/克,跌
2022-03-25,415.5,元/克,跌
2022-03-28,413.6,元/克,涨
2022-03-29,409.0,元/克,涨
2022-03-30,408.1,元/克,涨
2022-03-31,408.0,元/克,涨
2022-04-01,409.5,元/克,跌
2022-04-02,409.0,元/克,涨
2022-04-11,412.4,元/克,跌
2022-04-12,414.8,元/克,跌
2022-04-13,416.8,元/克,跌
2022-04-14,417.4,元/克,跌
2022-04-15,418.5,元/克,跌
2022-04-18,419.8,元/克,跌
2022-04-19,418.5,元/克,涨
2022-04-20,413.9,元/克,涨
2022-04-21,417.0,元/克,跌
2022-04-22,419.0,元/克,跌
2022-04-24,417.5,元/克,涨
2022-04-25,418.1,元/克,跌
2022-04-26,413.5,元/克,涨
2022-04-27,414.3,元/克,跌
2022-04-28,412.3,元/克,涨
2022-04-29,420.0,元/克,跌
2022-05-05,418.0,元/克,涨
2022-05-06,416.7,元/克,涨
2022-05-07,418.0,元/克,跌
2022-05-09,418.3,元/克,跌
2022-05-10,416.1,元/克,涨
2022-05-11,412.4,元/克,涨
2022-05-12,416.6,元/克,跌
2022-05-13,413.5,元/克,涨
2022-05-16,410.5,元/克,涨
2022-05-17,412.0,元/克,跌
2022-05-18,408.0,元/克,涨
2022-05-19,409.7,元/克,跌
2022-05-20,411.7,元/克,跌
2022-05-23,412.7,元/克,跌
2022-05-24,411.6,元/克,涨
2022-05-25,413.5,元/克,跌
2022-05-26,414.0,元/克,跌
2022-05-27,416.4,元/克,跌
2022-05-30,413.2,元/克,涨
2022-05-31,412.2,元/克,涨
2022-06-01,410.0,元/克,涨
2022-06-02,412.4,元/克,跌
2022-06-06,411.8,元/克,涨
2022-06-07,409.7,元/克,涨
2022-06-08,411.4,元/克,跌
2022-06-09,413.3,元/克,跌
2022-06-10,411.6,元/克,涨
2022-06-13,417.9,元/克,跌
2022-06-14,410.2,元/克,涨
2022-06-15,407.5,元/克,涨
2022-06-16,409.4,元/克,跌
2022-06-17,411.6,元/克,跌
2022-06-20,410.9,元/克,涨
2022-06-21,410.4,元/克,涨
2022-06-22,409.6,元/克,涨
2022-06-23,410.0,元/克,跌
2022-06-24,407.9,元/克,涨
2022-06-27,409.4,元/克,跌
2022-06-28,407.8,元/克,涨
2022-06-29,407.5,元/克,涨
2022-06-30,406.5,元/克,涨
2022-07-01,402.8,元/克,涨
2022-07-04,404.9,元/克,跌
2022-07-05,404.5,元/克,涨
2022-07-06,396.9,元/克,涨
2022-07-07,391.6,元/克,涨
2022-07-08,390.7,元/克,涨
2022-07-11,391.0,元/克,跌
2022-07-12,390.8,元/克,涨
2022-07-13,389.0,元/克,涨
2022-07-14,390.2,元/克,跌
2022-07-15,387.4,元/克,涨
2022-07-18,388.0,元/克,跌
2022-07-19,386.3,元/克,涨
2022-07-20,387.3,元/克,跌
2022-07-21,383.9,元/克,涨
2022-07-22,388.6,元/克,跌
2022-07-25,390.8,元/克,跌
2022-07-26,390.2,元/克,涨
2022-07-27,389.5,元/克,涨
2022-07-28,393.0,元/克,跌
2022-07-29,397.6,元/克,跌
2022-08-01,398.8,元/克,跌
2022-08-02,402.3,元/克,跌
2022-08-03,399.9,元/克,涨
2022-08-04,400.6,元/克,跌
2022-08-05,404.0,元/克,跌
2022-08-08,401.7,元/克,涨
2022-08-09,403.9,元/克,跌
2022-08-10,405.3,元/克,跌
2022-08-11,402.9,元/克,涨
2022-08-12,403.5,元/克,跌
2022-08-15,405.9,元/克,跌
2022-08-16,404.7,元/克,涨
2022-08-17,403.4,元/克,涨
2022-08-18,401.1,元/克,涨
2022-08-19,400.4,元/克,涨
2022-08-22,399.9,元/克,涨
2022-08-23,400.5,元/克,跌
2022-08-24,402.2,元/克,跌
2022-08-25,403.7,元/克,跌
2022-08-26,404.2,元/克,跌
2022-08-29,401.8,元/克,涨
2022-08-30,403.9,元/克,跌
2022-08-31,401.0,元/克,涨
2022-09-01,397.9,元/克,涨
2022-09-02,396.4,元/克,涨
2022-09-05,400.5,元/克,跌
2022-09-06,402.8,元/克,跌
2022-09-07,400.3,元/克,涨
2022-09-08,403.2,元/克,跌
2022-09-09,403.0,元/克,涨
2022-09-13,403.2,元/克,跌
2022-09-14,401.1,元/克,涨
