date,price,unit,trend
2020-07-17,546.0,元/克,涨
2020-07-20,549.0,元/克,跌
2020-07-21,551.0,元/克,跌
2020-07-22,557.0,元/克,跌
2020-07-23,563.0,元/克,跌
2020-07-24,570.0,元/克,跌
2020-07-27,581.0,元/克,跌
2020-07-28,594.0,元/克,跌
2020-07-29,594.0,元/克,平
2020-07-30,594.0,元/克,平
2020-07-31,592.0,元/克,涨
2020-08-03,596.0,元/克,跌
2020-08-04,596.0,元/克,平
2020-08-05,609.0,元/克,跌
2020-08-06,611.0,元/克,跌
2020-08-07,621.0,元/克,跌
2020-08-08,613.0,元/克,涨
2020-08-10,613.0,元/克,平
2020-08-11,609.0,元/克,涨
2020-08-12,609.0,元/克,平
2020-08-13,586.0,元/克,涨
2020-08-14,589.0,元/克,跌
2020-08-15,589.0,元/克,平
2020-08-17,585.0,元/克,涨
2020-08-18,593.0,元/克,跌
2020-08-19,598.0,元/克,跌
2020-08-20,587.0,元/克,涨
2020-08-21,587.0,元/克,平
2020-08-22,582.0,元/克,涨
2020-08-24,580.0,元/克,涨
2020-08-25,580.0,元/克,平
2020-08-26,577.0,元/克,涨
2020-08-27,581.0,元/克,跌
2020-08-28,576.0,元/克,涨
2020-08-29,584.0,元/克,跌
2020-08-31,584.0,元/克,平
2020-09-01,584.0,元/克,平
2020-09-02,584.0,元/克,平
2020-09-03,577.0,元/克,涨
2020-09-04,573.0,元/克,涨
2020-09-06,573.0,元/克,平
2020-09-07,573.0,元/克,平
2020-09-08,571.0,元/克,涨
2020-09-09,571.0,元/克,平
2020-09-10,576.0,元/克,跌
2020-09-11,576.0,元/克,平
2020-09-13,576.0,元/克,平
2020-09-14,576.0,元/克,平
2020-09-15,578.0,元/克,跌
2020-09-16,578.0,元/克,平
2020-09-17,576.0,元/克,涨
2020-09-18,573.0,元/克,涨
2020-09-19,573.0,元/克,平
2020-09-21,573.0,元/克,平
2020-09-22,567.0,元/克,涨
2020-09-23,561.0,元/克,涨
2020-09-24,551.0,元/克,涨
2020-09-25,553.0,元/克,跌
2020-09-26,553.0,元/克,平
2020-09-28,551.0,元/克,涨
