date,price,unit,trend
2020-03-02,440.0,元/克,平
2020-03-03,440.0,元/克,平
2020-03-04,440.0,元/克,平
2020-03-05,440.0,元/克,平
2020-03-06,440.0,元/克,平
2020-03-09,440.0,元/克,平
2020-03-10,440.0,元/克,平
2020-03-11,440.0,元/克,平
2020-03-12,440.0,元/克,平
2020-03-13,440.0,元/克,平
2020-03-16,440.0,元/克,平
2020-03-17,440.0,元/克,平
2020-03-18,440.0,元/克,平
2020-03-19,440.0,元/克,平
2020-03-20,440.0,元/克,平
2020-03-23,440.0,元/克,平
2020-03-24,440.0,元/克,平
2020-03-25,440.0,元/克,平
2020-03-26,440.0,元/克,平
2020-03-27,440.0,元/克,平
2020-03-30,440.0,元/克,平
2020-03-31,440.0,元/克,平
2020-04-01,440.0,元/克,平
2020-04-02,440.0,元/克,平
2020-04-03,440.0,元/克,平
2020-04-07,440.0,元/克,平
2020-04-08,440.0,元/克,平
2020-04-09,440.0,元/克,平
2020-04-10,440.0,元/克,平
2020-04-13,440.0,元/克,平
2020-04-14,440.0,元/克,平
2020-04-15,440.0,元/克,平
2020-04-16,440.0,元/克,平
2020-04-17,440.0,元/克,平
2020-04-20,440.0,元/克,平
2020-04-21,440.0,元/克,平
2020-04-22,440.0,元/克,平
2020-04-23,440.0,元/克,平
2020-04-24,440.0,元/克,平
2020-04-26,440.0,元/克,平
2020-04-27,440.0,元/克,平
2020-04-28,440.0,元/克,平
2020-04-29,440.0,元/克,平
2020-04-30,440.0,元/克,平
2020-05-01,440.0,元/克,平
2020-05-04,440.0,元/克,平
2020-05-05,440.0,元/克,平
2020-05-06,440.0,元/克,平
2020-05-07,440.0,元/克,平
2020-05-08,440.0,元/克,平
2020-05-09,505.0,元/克,跌
2020-05-11,505.0,元/克,平
2020-05-12,505.0,元/克,平
2020-05-13,505.0,元/克,平
2020-05-14,505.0,元/克,平
2020-05-15,505.0,元/克,平
2020-05-18,505.0,元/克,平
2020-05-19,505.0,元/克,平
2020-05-20,444.75,元/克,涨
2020-05-21,444.75,元/克,平
2020-05-22,515.0,元/克,跌
2020-05-25,515.0,元/克,平
2020-05-26,515.0,元/克,平
2020-05-27,515.0,元/克,平
2020-05-28,515.0,元/克,平
2020-05-29,515.0,元/克,平
2020-06-01,515.0,元/克,平
2020-06-02,515.0,元/克,平
2020-06-03,515.0,元/克,平
2020-06-04,510.0,元/克,涨
2020-06-05,510.0,元/克,平
2020-06-08,510.0,元/克,平
