date,price,unit,trend
2020-07-24,540.0,元/克,跌
2020-07-27,549.0,元/克,跌
2020-07-28,562.0,元/克,跌
2020-07-29,560.0,元/克,涨
2020-07-30,562.0,元/克,跌
2020-07-31,561.0,元/克,涨
2020-08-03,563.0,元/克,跌
2020-08-04,563.0,元/克,平
2020-08-05,576.0,元/克,跌
2020-08-06,579.0,元/克,跌
2020-08-07,587.0,元/克,跌
2020-08-08,579.0,元/克,涨
2020-08-10,579.0,元/克,平
2020-08-11,574.0,元/克,涨
2020-08-12,563.0,元/克,涨
2020-08-13,552.0,元/克,涨
2020-08-14,556.0,元/克,跌
2020-08-15,552.0,元/克,涨
2020-08-17,550.0,元/克,涨
2020-08-18,562.0,元/克,跌
2020-08-19,566.0,元/克,跌
2020-08-20,555.0,元/克,涨
2020-08-21,551.0,元/克,涨
2020-08-22,551.0,元/克,平
2020-08-24,549.0,元/克,涨
2020-08-25,548.0,元/克,涨
2020-08-26,546.0,元/克,涨
2020-08-27,551.0,元/克,跌
2020-08-28,545.0,元/克,涨
2020-08-29,553.0,元/克,跌
2020-08-31,556.0,元/克,跌
2020-09-01,553.0,元/克,涨
2020-09-02,551.0,元/克,涨
2020-09-03,545.0,元/克,涨
2020-09-04,544.0,元/克,涨
2020-09-06,542.0,元/克,涨
2020-09-07,543.0,元/克,跌
2020-09-08,540.0,元/克,涨
2020-09-09,542.0,元/克,跌
2020-09-10,546.0,元/克,跌
2020-09-11,546.0,元/克,平
2020-09-13,545.0,元/克,涨
2020-09-14,544.0,元/克,涨
2020-09-15,546.0,元/克,跌
2020-09-16,543.0,元/克,涨
2020-09-17,542.0,元/克,涨
2020-09-18,542.0,元/克,平
2020-09-19,541.0,元/克,涨
2020-09-21,542.0,元/克,跌
2020-09-22,535.0,元/克,涨
2020-09-23,529.0,元/克,涨
2020-09-24,520.0,元/克,涨
2020-09-25,523.0,元/克,跌
2020-09-26,521.0,元/克,涨
2020-09-28,520.0,元/克,涨
2020-09-29,526.0,元/克,跌
2020-09-30,530.0,元/克,跌
2020-10-01,525.0,元/克,涨
2020-10-02,529.0,元/克,跌
2020-10-05,529.0,元/克,平
2020-10-06,533.0,元/克,跌
2020-10-07,523.0,元/克,涨
2020-10-08,525.0,元/克,跌
2020-10-09,529.0,元/克,跌
2020-10-10,530.0,元/克,跌
2020-10-12,528.0,元/克,涨
2020-10-13,532.0,元/克,跌
2020-10-14,524.0,元/克,涨
2020-10-15,522.0,元/克,涨
2020-10-16,526.0,元/克,跌
2020-10-19,522.0,元/克,涨
2020-10-20,522.0,元/克,平
2020-10-21,524.0,元/克,跌
2020-10-22,524.0,元/克,平
2020-10-23,522.0,元/克,涨
2020-10-26,521.0,元/克,涨
2020-10-27,524.0,元/克,跌
2020-10-28,524.0,元/克,平
2020-10-29,518.0,元/克,涨
2020-10-30,514.0,元/克,涨
2020-11-02,515.0,元/克,跌
2020-11-03,520.0,元/克,跌
2020-11-04,521.0,元/克,跌
2020-11-05,520.0,元/克,涨
