date,price,unit,trend
2020-06-18,510.0,元/克,平
2020-06-19,510.0,元/克,平
2020-06-22,513.0,元/克,跌
2020-06-23,516.0,元/克,跌
2020-06-24,519.0,元/克,跌
2020-06-28,521.0,元/克,跌
2020-06-29,521.0,元/克,平
2020-06-30,523.0,元/克,跌
2020-07-01,525.0,元/克,跌
2020-07-02,520.0,元/克,涨
2020-07-03,522.0,元/克,跌
2020-07-06,523.0,元/克,跌
2020-07-07,523.0,元/克,平
2020-07-08,525.0,元/克,跌
2020-07-09,528.0,元/克,跌
2020-07-10,526.0,元/克,涨
2020-07-13,526.0,元/克,平
2020-07-14,526.0,元/克,平
2020-07-15,528.0,元/克,跌
2020-07-16,528.0,元/克,平
2020-07-17,525.0,元/克,涨
2020-07-20,527.0,元/克,跌
2020-07-21,527.0,元/克,平
2020-07-22,527.0,元/克,平
2020-07-23,545.0,元/克,跌
2020-07-24,548.0,元/克,跌
2020-07-27,558.0,元/克,跌
2020-07-28,570.0,元/克,跌
2020-07-29,570.0,元/克,平
2020-07-30,572.0,元/克,跌
2020-07-31,572.0,元/克,平
2020-08-03,573.0,元/克,跌
2020-08-04,573.0,元/克,平
2020-08-05,586.0,元/克,跌
2020-08-06,587.0,元/克,跌
2020-08-07,599.0,元/克,跌
2020-08-08,589.0,元/克,涨
2020-08-10,587.0,元/克,涨
2020-08-11,587.0,元/克,平
2020-08-12,555.0,元/克,涨
2020-08-13,556.0,元/克,跌
2020-08-14,568.0,元/克,跌
2020-08-15,562.0,元/克,涨
2020-08-17,565.0,元/克,跌
2020-08-18,572.0,元/克,跌
2020-08-19,578.0,元/克,跌
2020-08-20,556.0,元/克,涨
2020-08-21,562.0,元/克,跌
2020-08-22,562.0,元/克,平
2020-08-24,559.0,元/克,涨
2020-08-25,556.0,元/克,涨
2020-08-26,556.0,元/克,平
2020-08-27,560.0,元/克,跌
2020-08-28,555.0,元/克,涨
2020-08-29,560.0,元/克,跌
2020-08-31,565.0,元/克,跌
2020-09-01,562.0,元/克,涨
2020-09-02,563.0,元/克,跌
2020-09-03,555.0,元/克,涨
2020-09-04,552.0,元/克,涨
2020-09-06,552.0,元/克,平
2020-09-07,553.0,元/克,跌
2020-09-08,550.0,元/克,涨
2020-09-09,550.0,元/克,平
2020-09-10,555.0,元/克,跌
2020-09-11,555.0,元/克,平
2020-09-13,552.0,元/克,涨
2020-09-14,555.0,元/克,跌
2020-09-15,556.0,元/克,跌
2020-09-16,552.0,元/克,涨
2020-09-17,552.0,元/克,平
2020-09-18,550.0,元/克,涨
2020-09-19,555.0,元/克,跌
2020-09-21,553.0,元/克,涨
2020-09-22,545.0,元/克,涨
2020-09-23,538.0,元/克,涨
2020-09-24,529.0,元/克,涨
2020-09-25,535.0,元/克,跌
2020-09-26,530.0,元/克,涨
2020-09-28,530.0,元/克,平
2020-09-29,535.0,元/克,跌
2020-09-30,538.0,元/克,跌
2020-10-01,535.0,元/克,涨
2020-10-02,538.0,元/克,跌
2020-10-05,539.0,元/克,跌
2020-10-06,541.0,元/克,跌
2020-10-07,530.0,元/克,涨
2020-10-08,536.0,元/克,跌
2020-10-09,536.0,元/克,平
2020-10-10,542.0,元/克,跌
2020-10-12,542.0,元/克,平
2020-10-13,543.0,元/克,跌
2020-10-14,533.0,元/克,涨
2020-10-15,535.0,元/克,跌
2020-10-16,538.0,元/克,跌
2020-10-19,532.0,元/克,涨
2020-10-20,532.0,元/克,平
2020-10-21,533.0,元/克,跌
2020-10-22,533.0,元/克,平
2020-10-23,533.0,元/克,平
2020-10-26,529.0,元/克,涨
2020-10-27,535.0,元/克,跌
2020-10-28,533.0,元/克,涨
2020-10-29,528.0,元/克,涨
2020-10-30,525.0,元/克,涨
2020-11-02,527.0,元/克,跌
2020-11-03,530.0,元/克,跌
2020-11-04,533.0,元/克,跌
2020-11-05,529.0,元/克,涨
2020-11-06,536.0,元/克,跌
2020-11-09,541.0,元/克,跌
2020-11-10,518.0,元/克,涨
2020-11-11,526.0,元/克,跌
2020-11-12,518.0,元/克,涨
2020-11-13,518.0,元/克,平
2020-11-16,521.0,元/克,跌
2020-11-17,520.0,元/克,涨
2020-11-18,516.0,元/克,涨
2020-11-19,515.0,元/克,涨
2020-11-20,513.0,元/克,涨
2020-11-23,513.0,元/克,平
2020-11-24,508.0,元/克,涨
2020-11-25,500.0,元/克,涨
2020-11-26,500.0,元/克,平
2020-11-27,500.0,元/克,平
2020-11-30,495.0,元/克,涨
2020-12-01,490.0,元/克,涨
2020-12-02,498.0,元/克,跌
2020-12-03,502.0,元/克,跌
2020-12-04,503.0,元/克,跌
2020-12-07,500.0,元/克,涨
2020-12-08,508.0,元/克,跌
2020-12-09,510.0,元/克,跌
2020-12-10,503.0,元/克,涨
2020-12-11,503.0,元/克,平
2020-12-14,503.0,元/克,平
2020-12-15,502.0,元/克,涨
2020-12-16,508.0,元/克,跌
2020-12-17,508.0,元/克,平
2020-12-18,512.0,元/克,跌
2020-12-21,512.0,元/克,平
2020-12-22,513.0,元/克,跌
2020-12-23,509.0,元/克,涨
2020-12-24,515.0,元/克,跌
2020-12-25,515.0,元/克,平
2020-12-28,516.0,元/克,跌
2020-12-29,512.0,元/克,涨
2020-12-30,513.0,元/克,跌
2020-12-31,515.0,元/克,跌
2021-01-04,519.0,元/克,跌
2021-01-05,522.0,元/克,跌
2021-01-06,525.0,元/克,跌
2021-01-07,518.0,元/克,涨
2021-01-08,518.0,元/克,平
2021-01-11,506.0,元/克,涨
2021-01-12,502.0,元/克,涨
2021-01-13,503.0,元/克,跌
2021-01-14,499.0,元/克,涨
2021-01-15,499.0,元/克,平
2021-01-18,493.0,元/克,涨
2021-01-19,497.0,元/克,跌
2021-01-20,497.0,元/克,平
2021-01-21,503.0,元/克,跌
2021-01-22,503.0,元/克,平
2021-01-25,502.0,元/克,涨
2021-01-26,502.0,元/克,平
2021-01-27,499.0,元/克,涨
2021-01-28,499.0,元/克,平
2021-01-29,498.0,元/克,涨
2021-01-30,495.0,元/克,涨
2021-02-01,498.0,元/克,跌
2021-02-02,502.0,元/克,跌
2021-02-03,495.0,元/克,涨
2021-02-04,495.0,元/克,平
2021-02-05,485.0,元/克,涨
2021-02-07,488.0,元/克,跌
2021-02-08,489.0,元/克,跌
2021-02-09,492.0,元/克,跌
2021-02-10,495.0,元/克,跌
2021-02-11,496.0,元/克,跌
2021-02-12,492.0,元/克,涨
2021-02-13,492.0,元/克,平
2021-02-14,492.0,元/克,平
2021-02-15,490.0,元/克,涨
2021-02-16,489.0,元/克,涨
2021-02-17,485.0,元/克,涨
2021-02-18,479.0,元/克,涨
2021-02-19,481.0,元/克,跌
2021-02-20,481.0,元/克,平
2021-02-22,481.0,元/克,平
2021-02-23,488.0,元/克,跌
2021-02-24,488.0,元/克,平
2021-02-25,486.0,元/克,涨
2021-02-26,478.0,元/克,涨
2021-03-01,470.0,元/克,涨
2021-03-02,466.0,元/克,涨
2021-03-03,469.0,元/克,跌
2021-03-04,463.0,元/克,涨
2021-03-05,459.0,元/克,涨
2021-03-06,462.0,元/克,跌
2021-03-08,463.0,元/克,跌
2021-03-09,459.0,元/克,涨
2021-03-10,466.0,元/克,跌
2021-03-11,468.0,元/克,跌
2021-03-12,468.0,元/克,平
2021-03-13,469.0,元/克,跌
2021-03-15,469.0,元/克,平
2021-03-16,470.0,元/克,跌
2021-03-17,469.0,元/克,涨
2021-03-18,473.0,元/克,跌
2021-03-19,470.0,元/克,涨
2021-03-20,473.0,元/克,跌
2021-03-22,472.0,元/克,涨
2021-03-23,472.0,元/克,平
2021-03-24,470.0,元/克,涨
2021-03-25,472.0,元/克,跌
2021-03-26,472.0,元/克,平
2021-03-29,472.0,元/克,平
2021-03-30,469.0,元/克,涨
2021-03-31,462.0,元/克,涨
2021-04-01,468.0,元/克,跌
2021-04-02,473.0,元/克,跌
2021-04-06,475.0,元/克,跌
2021-04-07,476.0,元/克,跌
2021-04-08,476.0,元/克,平
2021-04-09,479.0,元/克,跌
2021-04-12,477.0,元/克,涨
2021-04-13,475.0,元/克,涨
2021-04-14,478.0,元/克,跌
2021-04-15,473.0,元/克,涨
2021-04-16,481.0,元/克,跌
2021-04-17,482.0,元/克,跌
2021-04-19,482.0,元/克,平
2021-04-20,482.0,元/克,平
2021-04-21,483.0,元/克,跌
2021-04-22,486.0,元/克,跌
2021-04-23,485.0,元/克,涨
2021-04-25,483.0,元/克,涨
2021-04-26,482.0,元/克,涨
2021-04-27,483.0,元/克,跌
2021-04-28,483.0,元/克,平
2021-04-29,483.0,元/克,平
2021-04-30,479.0,元/克,涨
2021-05-03,478.0,元/克,涨
2021-05-04,483.0,元/克,跌
2021-05-05,479.0,元/克,涨
2021-05-06,482.0,元/克,跌
2021-05-07,489.0,元/克,跌
2021-05-08,490.0,元/克,跌
2021-05-10,491.0,元/克,跌
2021-05-11,492.0,元/克,跌
2021-05-12,493.0,元/克,跌
2021-05-13,489.0,元/克,涨
2021-05-14,490.0,元/克,跌
2021-05-15,493.0,元/克,跌
2021-05-17,496.0,元/克,跌
2021-05-18,500.0,元/克,跌
2021-05-19,502.0,元/克,跌
2021-05-20,502.0,元/克,平
2021-05-21,503.0,元/克,跌
2021-05-22,505.0,元/克,跌
2021-05-24,505.0,元/克,平
2021-07-02,480.0,元/克,涨
2021-07-05,482.0,元/克,跌
2021-07-06,483.0,元/克,跌
2021-07-07,486.0,元/克,跌
2021-07-08,486.0,元/克,平
2021-07-09,488.0,元/克,跌
2021-07-12,488.0,元/克,平
2021-07-13,488.0,元/克,平
2021-07-14,488.0,元/克,平
2021-07-15,492.0,元/克,跌
2021-07-16,493.0,元/克,跌
2021-07-17,490.0,元/克,涨
2021-07-19,490.0,元/克,平
2021-07-20,492.0,元/克,跌
2021-07-21,490.0,元/克,涨
2021-07-22,488.0,元/克,涨
2021-07-23,489.0,元/克,跌
2021-07-26,488.0,元/克,涨
2021-07-27,486.0,元/克,涨
2021-07-28,488.0,元/克,跌
2021-07-29,490.0,元/克,跌
2021-07-30,493.0,元/克,跌
2021-08-02,488.0,元/克,涨
2021-08-03,488.0,元/克,平
2021-08-04,488.0,元/克,平
2021-08-05,489.0,元/克,跌
2021-08-06,487.0,元/克,涨
2021-08-07,478.0,元/克,涨
2021-08-09,465.0,元/克,涨
2021-08-10,470.0,元/克,跌
2021-08-11,468.0,元/克,涨
2021-08-12,475.0,元/克,跌
2021-08-13,476.0,元/克,跌
2021-08-16,482.0,元/克,跌
2021-08-17,485.0,元/克,跌
2021-08-18,485.0,元/克,平
2021-08-19,485.0,元/克,平
2021-08-20,483.0,元/克,涨
2021-08-23,482.0,元/克,涨
2021-08-24,488.0,元/克,跌
2021-08-25,488.0,元/克,平
2021-08-26,485.0,元/克,涨
2021-08-27,485.0,元/克,平
2021-08-30,492.0,元/克,跌
2021-08-31,490.0,元/克,涨
2021-09-01,490.0,元/克,平
2021-09-02,488.0,元/克,涨
2021-09-03,487.0,元/克,涨
2021-09-06,492.0,元/克,跌
2021-09-07,491.0,元/克,涨
2021-09-08,486.0,元/克,涨
2021-09-09,485.0,元/克,涨
2021-09-10,485.0,元/克,平
2021-09-13,480.0,元/克,涨
2021-09-14,482.0,元/克,跌
2021-09-15,485.0,元/克,跌
2021-09-16,482.0,元/克,涨
2021-09-17,473.0,元/克,涨
2021-09-18,475.0,元/克,跌
2021-09-22,480.0,元/克,跌
2021-09-23,478.0,元/克,涨
2021-09-24,470.0,元/克,涨
2021-09-26,473.0,元/克,跌
2021-09-27,473.0,元/克,平
2021-09-28,472.0,元/克,涨
2021-09-29,469.0,元/克,涨
2021-09-30,469.0,元/克,平
2021-10-01,471.0,元/克,跌
2021-10-02,475.0,元/克,跌
2021-10-03,475.0,元/克,平
2021-10-04,475.0,元/克,平
2021-10-05,475.0,元/克,平
2021-10-06,475.0,元/克,平
2021-10-07,475.0,元/克,平
2021-10-08,472.0,元/克,涨
2021-10-09,473.0,元/克,跌
2021-10-11,473.0,元/克,平
2021-10-12,471.0,元/克,涨
2021-10-13,473.0,元/克,跌
2021-10-14,480.0,元/克,跌
2021-10-15,483.0,元/克,跌
2021-10-18,475.0,元/克,涨
2021-10-19,473.0,元/克,涨
2021-10-20,471.0,元/克,涨
2021-10-21,475.0,元/克,跌
2021-10-22,476.0,元/克,跌
2021-10-23,478.0,元/克,跌
2021-10-25,478.0,元/克,平
2021-10-26,482.0,元/克,跌
2021-10-27,478.0,元/克,涨
2021-10-28,479.0,元/克,跌
2021-10-29,479.0,元/克,平
2021-10-30,478.0,元/克,涨
2021-11-01,476.0,元/克,涨
2021-11-02,478.0,元/克,跌
2021-11-03,476.0,元/克,涨
2021-11-04,473.0,元/克,涨
2021-11-05,478.0,元/克,跌
2021-11-06,486.0,元/克,跌
2021-11-08,486.0,元/克,平
2021-11-09,487.0,元/克,跌
2021-11-10,488.0,元/克,跌
2021-11-11,492.0,元/克,跌
2021-11-12,495.0,元/克,跌
2021-11-13,495.0,元/克,平
2021-11-15,495.0,元/克,平
2021-11-16,495.0,元/克,平
2021-11-17,493.0,元/克,涨
2021-11-18,495.0,元/克,跌
2021-11-19,495.0,元/克,平
2021-11-20,492.0,元/克,涨
2021-11-22,492.0,元/克,平
2021-11-23,482.0,元/克,涨
2021-11-24,478.0,元/克,涨
2021-11-25,477.0,元/克,涨
2021-11-26,478.0,元/克,跌
2021-11-27,478.0,元/克,平
2021-11-29,478.0,元/克,平
2021-11-30,476.0,元/克,涨
2021-12-01,471.0,元/克,涨
2021-12-02,473.0,元/克,跌
2021-12-03,470.0,元/克,涨
2021-12-04,473.0,元/克,跌
2021-12-06,473.0,元/克,平
2021-12-07,473.0,元/克,平
2021-12-08,473.0,元/克,平
2021-12-09,472.0,元/克,涨
2021-12-10,472.0,元/克,平
2021-12-11,473.0,元/克,跌
2021-12-13,475.0,元/克,跌
2021-12-14,475.0,元/克,平
2021-12-15,471.0,元/克,涨
2021-12-16,473.0,元/克,跌
2021-12-17,478.0,元/克,跌
2021-12-18,478.0,元/克,平
2021-12-20,479.0,元/克,跌
2021-12-21,476.0,元/克,涨
2021-12-22,475.0,元/克,涨
2021-12-23,480.0,元/克,跌
2021-12-24,480.0,元/克,平
2021-12-25,482.0,元/克,跌
2021-12-27,480.0,元/克,涨
2021-12-28,482.0,元/克,跌
2021-12-29,480.0,元/克,涨
2021-12-30,479.0,元/克,涨
2021-12-31,483.0,元/克,跌
2022-01-01,486.0,元/克,跌
2022-01-02,486.0,元/克,平
2022-01-03,486.0,元/克,平
2022-01-04,479.0,元/克,涨
2022-01-05,483.0,元/克,跌
2022-01-06,482.0,元/克,涨
2022-01-07,478.0,元/克,涨
2022-01-08,478.0,元/克,平
2022-01-10,478.0,元/克,平
2022-01-11,479.0,元/克,跌
2022-01-12,486.0,元/克,跌
2022-01-13,485.0,元/克,涨
2022-01-14,485.0,元/克,平
2022-01-15,482.0,元/克,涨
2022-01-17,482.0,元/克,平
2022-01-18,482.0,元/克,平
2022-01-19,480.0,元/克,涨
2022-01-20,487.0,元/克,跌
2022-01-21,487.0,元/克,平
2022-01-22,486.0,元/克,涨
2022-01-24,486.0,元/克,平
2022-01-25,487.0,元/克,跌
2022-01-26,488.0,元/克,跌
2022-01-27,480.0,元/克,涨
2022-01-28,478.0,元/克,涨
2022-01-29,475.0,元/克,涨
2022-01-31,475.0,元/克,平
2022-02-01,476.0,元/克,跌
2022-02-03,479.0,元/克,跌
2022-02-05,479.0,元/克,平
2022-02-07,479.0,元/克,平
2022-02-08,483.0,元/克,跌
2022-02-09,486.0,元/克,跌
2022-02-10,487.0,元/克,跌
2022-02-11,486.0,元/克,涨
2022-02-12,492.0,元/克,跌
2022-02-14,492.0,元/克,平
2022-02-15,496.0,元/克,跌
2022-02-16,489.0,元/克,涨
2022-02-17,495.0,元/克,跌
2022-02-18,502.0,元/克,跌
2022-02-19,501.0,元/克,涨
2022-02-21,505.0,元/克,跌
2022-02-22,505.0,元/克,平
2022-02-23,501.0,元/克,涨
2022-02-24,505.0,元/克,跌
2022-02-25,505.0,元/克,平
2022-02-26,497.0,元/克,涨
2022-02-28,497.0,元/克,平
2022-03-01,502.0,元/克,跌
2022-03-02,511.0,元/克,跌
2022-03-03,511.0,元/克,平
2022-03-04,510.0,元/克,涨
2022-03-05,520.0,元/克,跌
2022-03-07,520.0,元/克,平
2022-03-08,525.0,元/克,跌
2022-03-09,527.0,元/克,跌
2022-03-10,525.0,元/克,涨
2022-03-11,525.0,元/克,平
2022-03-12,526.0,元/克,跌
2022-03-14,522.0,元/克,涨
2022-03-15,519.0,元/克,涨
2022-03-16,509.0,元/克,涨
2022-03-17,511.0,元/克,跌
2022-03-18,515.0,元/克,跌
2022-03-19,510.0,元/克,涨
2022-03-21,510.0,元/克,平
2022-03-22,510.0,元/克,平
2022-03-23,513.0,元/克,跌
2022-03-24,510.0,元/克,涨
2022-03-25,520.0,元/克,跌
2022-03-26,519.0,元/克,涨
2022-03-28,519.0,元/克,平
2022-03-29,511.0,元/克,涨
2022-03-30,511.0,元/克,平
2022-03-31,509.0,元/克,涨
2022-04-01,511.0,元/克,跌
2022-04-02,511.0,元/克,平
2022-04-04,511.0,元/克,平
2022-04-05,513.0,元/克,跌
2022-04-06,513.0,元/克,平
2022-04-07,510.0,元/克,涨
2022-04-08,510.0,元/克,平
2022-04-09,517.0,元/克,跌
2022-04-11,517.0,元/克,平
2022-04-12,517.0,元/克,平
2022-04-13,519.0,元/克,跌
2022-04-14,522.0,元/克,跌
2022-04-16,525.0,元/克,跌
2022-04-18,525.0,元/克,平
2022-04-19,525.0,元/克,平
2022-04-20,525.0,元/克,平
2022-04-21,519.0,元/克,涨
2022-04-22,523.0,元/克,跌
2022-04-23,523.0,元/克,平
2022-04-25,523.0,元/克,平
2022-04-26,519.0,元/克,涨
2022-04-27,522.0,元/克,跌
2022-04-28,515.0,元/克,涨
2022-04-29,525.0,元/克,跌
2022-04-30,523.0,元/克,涨
2022-05-01,523.0,元/克,平
2022-05-02,523.0,元/克,平
2022-05-03,519.0,元/克,涨
2022-05-04,518.0,元/克,涨
2022-05-05,522.0,元/克,跌
2022-05-06,522.0,元/克,平
2022-05-07,525.0,元/克,跌
2022-05-09,525.0,元/克,平
2022-05-10,525.0,元/克,平
2022-05-11,520.0,元/克,涨
2022-05-12,515.0,元/克,涨
2022-05-13,520.0,元/克,跌
2022-05-14,513.0,元/克,涨
2022-05-16,513.0,元/克,平
2022-05-17,513.0,元/克,平
2022-05-18,510.0,元/克,涨
2022-05-19,510.0,元/克,平
2022-05-20,515.0,元/克,跌
2022-05-21,515.0,元/克,平
2022-05-23,515.0,元/克,平
2022-05-24,515.0,元/克,平
2022-05-25,515.0,元/克,平
2022-05-26,518.0,元/克,跌
2022-05-27,517.0,元/克,涨
2022-05-28,518.0,元/克,跌
2022-05-30,517.0,元/克,涨
2022-05-31,517.0,元/克,平
2022-06-01,515.0,元/克,涨
2022-06-02,515.0,元/克,平
2022-06-06,515.0,元/克,平
2022-06-07,510.0,元/克,涨
2022-06-08,515.0,元/克,跌
2022-06-09,515.0,元/克,平
2022-06-10,517.0,元/克,跌
2022-06-11,523.0,元/克,跌
2022-06-13,523.0,元/克,平
2022-06-14,525.0,元/克,跌
2022-06-15,509.0,元/克,涨
2022-06-16,513.0,元/克,跌
2022-06-17,518.0,元/克,跌
2022-06-18,515.0,元/克,涨
2022-06-20,515.0,元/克,平
2022-06-21,513.0,元/克,涨
2022-06-22,511.0,元/克,涨
2022-06-23,515.0,元/克,跌
2022-06-24,510.0,元/克,涨
2022-06-25,510.0,元/克,平
2022-06-27,511.0,元/克,跌
2022-06-28,509.0,元/克,涨
2022-06-29,509.0,元/克,平
2022-06-30,508.0,元/克,涨
2022-07-01,505.0,元/克,涨
2022-07-02,506.0,元/克,跌
2022-07-04,506.0,元/克,平
2022-07-05,505.0,元/克,涨
2022-07-06,496.0,元/克,涨
2022-07-07,487.0,元/克,涨
2022-07-08,487.0,元/克,平
2022-07-09,487.0,元/克,平
2022-07-11,487.0,元/克,平
2022-07-12,486.0,元/克,涨
2022-07-13,486.0,元/克,平
2022-07-14,487.0,元/克,跌
2022-07-15,486.0,元/克,涨
2022-07-17,482.0,元/克,涨
2022-07-18,482.0,元/克,平
2022-07-19,480.0,元/克,涨
2022-07-20,482.0,元/克,跌
2022-07-21,478.0,元/克,涨
2022-07-22,486.0,元/克,跌
2022-07-24,487.0,元/克,跌
2022-07-25,486.0,元/克,涨
2022-07-26,485.0,元/克,涨
2022-07-27,485.0,元/克,平
2022-07-28,491.0,元/克,跌
2022-07-29,493.0,元/克,跌
2022-07-31,497.0,元/克,跌
2022-08-01,497.0,元/克,平
2022-08-02,500.0,元/克,跌
2022-08-03,495.0,元/克,涨
2022-08-04,497.0,元/克,跌
2022-08-05,497.0,元/克,平
2022-08-06,501.0,元/克,跌
2022-08-08,500.0,元/克,涨
2022-08-09,500.0,元/克,平
2022-08-10,505.0,元/克,跌
2022-08-11,506.0,元/克,跌
2022-08-12,502.0,元/克,涨
2022-08-13,508.0,元/克,跌
2022-08-15,506.0,元/克,涨
2022-08-16,506.0,元/克,平
2022-08-17,502.0,元/克,涨
2022-08-18,502.0,元/克,平
2022-08-19,498.0,元/克,涨
2022-08-20,497.0,元/克,涨
2022-08-22,496.0,元/克,涨
2022-08-23,496.0,元/克,平
2022-08-24,496.0,元/克,平
2022-08-25,497.0,元/克,跌
2022-08-26,502.0,元/克,跌
2022-08-27,498.0,元/克,涨
2022-08-29,497.0,元/克,涨
2022-08-30,501.0,元/克,跌
2022-08-31,497.0,元/克,涨
2022-09-01,492.0,元/克,涨
2022-09-02,492.0,元/克,平
2022-09-03,493.0,元/克,跌
2022-09-05,493.0,元/克,平
2022-09-06,496.0,元/克,跌
2022-09-07,495.0,元/克,涨
2022-09-08,498.0,元/克,跌
2022-09-09,496.0,元/克,涨
2022-09-10,496.0,元/克,平
2022-09-13,498.0,元/克,跌
2022-09-14,493.0,元/克,涨
2022-09-15,493.0,元/克,平
2022-09-16,488.0,元/克,涨
2022-09-17,489.0,元/克,跌
2022-09-19,489.0,元/克,平
2022-09-20,491.0,元/克,跌
2022-09-21,488.0,元/克,涨
2022-09-22,489.0,元/克,跌
2022-09-23,493.0,元/克,跌
2022-09-24,489.0,元/克,涨
2022-09-26,489.0,元/克,平
2022-09-27,486.0,元/克,涨
2022-09-28,488.0,元/克,跌
2022-09-29,497.0,元/克,跌
2022-09-30,495.0,元/克,涨
2022-10-01,495.0,元/克,平
2022-10-02,492.0,元/克,涨
2022-10-03,495.0,元/克,跌
2022-10-04,505.0,元/克,跌
2022-10-05,511.0,元/克,跌
2022-10-06,510.0,元/克,涨
2022-10-07,508.0,元/克,涨
2022-10-08,505.0,元/克,涨
2022-10-09,505.0,元/克,平
2022-10-10,505.0,元/克,平
2022-10-11,498.0,元/克,涨
2022-10-12,497.0,元/克,涨
2022-10-13,501.0,元/克,跌
2022-10-14,497.0,元/克,涨
2022-10-15,493.0,元/克,涨
2022-10-17,495.0,元/克,跌
2022-10-18,496.0,元/克,跌
2022-10-19,497.0,元/克,跌
2022-10-20,491.0,元/克,涨
2022-10-21,491.0,元/克,平
2022-10-22,501.0,元/克,跌
2022-10-24,505.0,元/克,跌
2022-10-25,501.0,元/克,涨
2022-10-26,501.0,元/克,平
2022-10-27,498.0,元/克,涨
2022-10-28,502.0,元/克,跌
2022-10-29,498.0,元/克,涨
2022-10-31,498.0,元/克,平
2022-11-01,498.0,元/克,平
2022-11-02,500.0,元/克,跌
2022-11-03,497.0,元/克,涨
