date,price,unit,trend
2020-07-21,466.0,元/克,平
2020-07-22,475.0,元/克,跌
2020-07-23,475.0,元/克,平
2020-07-24,485.0,元/克,跌
2020-07-27,485.0,元/克,平
2020-07-28,500.0,元/克,平
2020-07-29,500.0,元/克,平
2020-07-30,500.0,元/克,平
2020-07-31,500.0,元/克,平
2020-08-03,500.0,元/克,平
2020-08-04,500.0,元/克,平
2020-08-05,512.0,元/克,跌
2020-08-06,512.0,元/克,平
2020-08-07,512.0,元/克,平
2020-08-08,512.0,元/克,平
2020-08-10,512.0,元/克,平
2020-08-11,512.0,元/克,平
2020-08-12,498.0,元/克,涨
2020-08-13,498.0,元/克,平
2020-08-14,506.0,元/克,跌
2020-08-15,506.0,元/克,平
2020-08-17,506.0,元/克,平
2020-08-18,506.0,元/克,平
2020-08-19,506.0,元/克,平
2020-08-20,506.0,元/克,平
2020-08-21,506.0,元/克,平
2020-08-22,506.0,元/克,平
2020-08-24,506.0,元/克,平
2020-08-25,506.0,元/克,平
2020-08-26,506.0,元/克,平
2020-08-27,506.0,元/克,平
2020-08-28,506.0,元/克,平
2020-08-29,506.0,元/克,平
2020-08-31,506.0,元/克,平
2020-09-01,506.0,元/克,平
2020-09-02,506.0,元/克,平
2020-09-03,506.0,元/克,平
2020-09-04,506.0,元/克,平
2020-09-06,506.0,元/克,平
2020-09-07,506.0,元/克,平
2020-09-08,506.0,元/克,平
2020-09-09,506.0,元/克,平
2020-09-10,506.0,元/克,平
2020-09-11,506.0,元/克,平
2020-09-13,506.0,元/克,平
2020-09-14,506.0,元/克,平
2020-09-15,506.0,元/克,平
2020-09-16,506.0,元/克,平
2020-09-17,506.0,元/克,平
2020-09-18,506.0,元/克,平
2020-09-19,506.0,元/克,平
2020-09-21,506.0,元/克,平
2020-09-22,506.0,元/克,平
2020-09-23,498.0,元/克,涨
2020-09-24,498.0,元/克,平
2020-09-25,498.0,元/克,平
2020-09-26,498.0,元/克,平
2020-09-28,498.0,元/克,平
2020-09-29,498.0,元/克,平
2020-09-30,498.0,元/克,平
2020-10-01,498.0,元/克,平
2020-10-02,498.0,元/克,平
2020-10-05,498.0,元/克,平
2020-10-06,498.0,元/克,平
2020-10-07,498.0,元/克,平
2020-10-08,498.0,元/克,平
2020-10-09,498.0,元/克,平
2020-10-10,498.0,元/克,平
2020-10-12,498.0,元/克,平
2020-10-13,498.0,元/克,平
2020-10-14,498.0,元/克,平
2020-10-15,498.0,元/克,平
2020-10-16,498.0,元/克,平
2020-10-19,498.0,元/克,平
2020-10-20,498.0,元/克,平
2020-10-21,498.0,元/克,平
2020-10-22,498.0,元/克,平
2020-10-23,498.0,元/克,平
2020-10-26,498.0,元/克,平
2020-10-27,498.0,元/克,平
2020-10-28,498.0,元/克,平
2020-10-29,498.0,元/克,平
2020-10-30,498.0,元/克,平
2020-11-02,498.0,元/克,平
2020-11-03,498.0,元/克,平
2020-11-04,498.0,元/克,平
2020-11-05,498.0,元/克,平
2020-11-06,498.0,元/克,平
2020-11-09,498.0,元/克,平
2020-11-10,498.0,元/克,平
2020-11-11,498.0,元/克,平
2020-11-12,498.0,元/克,平
2020-11-13,498.0,元/克,平
2020-11-16,498.0,元/克,平
2020-11-17,498.0,元/克,平
2020-11-18,498.0,元/克,平
2020-11-19,498.0,元/克,平
2020-11-20,498.0,元/克,平
2020-11-23,498.0,元/克,平
2020-11-24,488.0,元/克,涨
2020-11-25,488.0,元/克,平
2020-11-26,488.0,元/克,平
2020-11-27,488.0,元/克,平
2020-11-30,488.0,元/克,平
2020-12-01,475.0,元/克,涨
2020-12-02,475.0,元/克,平
2020-12-03,475.0,元/克,平
2020-12-04,487.0,元/克,跌
2020-12-07,487.0,元/克,平
2020-12-08,487.0,元/克,平
2020-12-09,487.0,元/克,平
2020-12-10,487.0,元/克,平
2020-12-11,487.0,元/克,平
